tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	123041	0	live	SLC24A4	AI2A5, NCKX4, SHEP6, SLC24A2	solute carrier family 24 member 4	sodium/potassium/calcium exchanger 4|Na(+)/K(+)/Ca(2+)-exchange protein 4|Na/Ca-K exchanger 4|solute carrier family 24 (sodium/potassium/calcium exchanger), member 4	14q32.12	14	NC_000014.9	92322581	92501481	plus	22	609840	
9606	Homo sapiens	219931	0	live	TPCN2	SHEP10, TPC2	two pore segment channel 2	two pore channel protein 2|two pore calcium channel protein 2|voltage-dependent calcium channel protein TPC2	11q13.3	11	NC_000011.10	69048932	69090597	plus	25	612163	
9606	Homo sapiens	5566	0	live	PRKACA	CAFD1, PKACA, PPNAD4	protein kinase cAMP-activated catalytic subunit alpha	cAMP-dependent protein kinase catalytic subunit alpha|PKA C-alpha|protein kinase A catalytic subunit|protein kinase, cAMP-dependent, alpha catalytic subunit|protein kinase, cAMP-dependent, catalytic, alpha	19p13.12	19	NC_000019.10	14091688	14117762	minus	12	601639	
9606	Homo sapiens	5167	0	live	ENPP1	ARHR2, COLED, M6S1, NPP1, NPPS, PC-1, PCA1, PDNP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	ectonucleotide pyrophosphatase/phosphodiesterase family member 1|E-NPP 1|Ly-41 antigen|alkaline phosphodiesterase 1|membrane component, chromosome 6, surface marker 1|phosphodiesterase I/nucleotide pyrophosphatase 1|plasma-cell membrane glycoprotein 1|plasma-cell membrane glycoprotein PC-1	6q23.2	6	NC_000006.12	131808020	131895155	plus	25	173335	
9606	Homo sapiens	5573	0	live	PRKAR1A	ACRDYS1, ADOHR, CAR, CNC, CNC1, PKR1, PPNAD1, PRKAR1, TSE1	protein kinase cAMP-dependent type I regulatory subunit alpha	cAMP-dependent protein kinase type I-alpha regulatory subunit|Carney complex type 1|cAMP-dependent protein kinase regulatory subunit RIalpha|cAMP-dependent protein kinase type I-alpha regulatory chain|epididymis secretory sperm binding protein|protein kinase A type 1a regulatory subunit|protein kinase, cAMP-dependent, regulatory subunit type I alpha|protein kinase, cAMP-dependent, regulatory, type I, alpha|tissue-specific extinguisher 1	17q24.2	17	NC_000017.11	68413623	68551316	plus	16	188830	
9606	Homo sapiens	1910	0	live	EDNRB	ABCDS, ET-B, ET-BR, ETB, ETB1, ETBR, ETRB, HSCR, HSCR2, WS4A	endothelin receptor type B	endothelin receptor type B|Hirschsprung disease 2|endothelin receptor non-selective type|endothelin receptor subtype B1	13q22.3	13	NC_000013.11	77895481	77975527	minus	9	131244	
9606	Homo sapiens	3852	0	live	KRT5	CK5, DDD, DDD1, EBS1, EBS2, EBS2A, EBS2B, EBS2C, EBS2D, EBS2E, EBS2F, K5A, KRT5	keratin 5	keratin, type II cytoskeletal 5|58 kda cytokeratin|CK-5|cytokeratin-5|epidermolysis bullosa simplex 2 Dowling-Meara/Kobner/Weber-Cockayne types|keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)|keratin 5, type II|type-II keratin Kb5	12q13.13	12	NC_000012.12	52514575	52520394	minus	9	148040	
9606	Homo sapiens	23569	0	live	PADI4	PAD, PAD4, PADI5, PDI4, PDI5	peptidyl arginine deiminase 4	protein-arginine deiminase type-4|HL-60 PAD|PADI-H protein|peptidyl arginine deiminase, type IV|peptidyl arginine deiminase, type V|protein-arginine deiminase type IV	1p36.13	1	NC_000001.11	17308197	17364004	plus	18	605347	
9606	Homo sapiens	23418	0	live	CRB1	CRB1-A-B, CRB1-C, LCA8, RP12, CRB1	crumbs cell polarity complex component 1	protein crumbs homolog 1|crumbs 1, cell polarity complex component|crumbs family member 1, photoreceptor morphogenesis associated	1q31.3	1	NC_000001.11	197201504	197478455	plus	17	604210	
9606	Homo sapiens	1186	0	live	CLCN7	CLC-7, CLC7, HOD, OPTA2, OPTB4, PPP1R63	chloride voltage-gated channel 7	H(+)/Cl(-) exchange transporter 7|chloride channel 7 alpha subunit|chloride channel protein 7|chloride channel, voltage-sensitive 7|protein phosphatase 1, regulatory subunit 63	16p13.3	16	NC_000016.10	1444935	1475028	minus	26	602727	
9606	Homo sapiens	79977	0	live	GRHL2	BOM, DFNA28, ECTDS, PPCD4, TFCP2L3	grainyhead like transcription factor 2	grainyhead-like protein 2 homolog|brother of mammalian grainyhead|brother-of-MGR|grainyhead-like 2|transcription factor CP2-like 3	8q22.3	8	NC_000008.11	101492439	101681200	plus	17	608576	
9606	Homo sapiens	23328	0	live	SASH1	CAPOK, DUH1, SH3D6A, dJ323M4.1	SAM and SH3 domain containing 1	SAM and SH3 domain-containing protein 1|proline-glutamate repeat-containing protein	6q24.3-q25.1	6	NC_000006.12	148193468	148552044	plus	29	607955	
9606	Homo sapiens	54331	0	live	GNG2	HG3F1	G protein subunit gamma 2	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2|g gamma-I|guanine nucleotide binding protein (G protein), gamma 2|guanine nucleotide binding protein gamma 2|guanine nucleotide-binding protein G(I)/G(O) gamma-2 subunit|heterotrimeric guanine nucleotide-binding protein 3F1	14q22.1	14	NC_000014.9	51826174	51969795	plus	14	606981	
9606	Homo sapiens	50940	0	live	PDE11A	PPNAD2	phosphodiesterase 11A	dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A|cAMP and cGMP cyclic nucleotide phosphodiesterase 11A	2q31.2	2	NC_000002.12	177623244	178108339	minus	24	604961	
9606	Homo sapiens	55920	0	live	RCC2	TD-60	regulator of chromosome condensation 2	protein RCC2|RCC1-like protein TD-60|epididymis secretory sperm binding protein|telophase disk protein of 60 kDa	1p36.13	1	NC_000001.11	17406760	17439677	minus	13	609587	
9606	Homo sapiens	8622	0	live	PDE8B	ADSD, PPNAD3	phosphodiesterase 8B	high affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B|3',5' cyclic nucleotide phosphodiesterase 8B|cell proliferation-inducing gene 22 protein	5q13.3	5	NC_000005.10	77180304	77428256	plus	28	603390	
9606	Homo sapiens	8558	0	live	CDK10	ALSAS, PISSLRE	cyclin dependent kinase 10	cyclin-dependent kinase 10|CDC2-related protein kinase|cell division protein kinase 10|cyclin-dependent kinase (CDC2-like) 10|cyclin-dependent kinase related protein|serine/threonine protein kinase PISSLRE	16q24.3	16	NC_000016.10	89686689	89696354	plus	17	603464	
9606	Homo sapiens	79805	0	live	VASH2		vasohibin 2	tubulinyl-Tyr carboxypeptidase 2|testicular tissue protein Li 222|vasohibin-like protein	1q32.3	1	NC_000001.11	212950541	212991585	plus	8	610471	
9606	Homo sapiens	58480	0	live	RHOU	ARHU, CDC42L1, G28K, WRCH1, hG28K	ras homolog family member U	rho-related GTP-binding protein RhoU|2310026M05Rik|CDC42-like GTPase 1|GTP-binding protein SB128|GTP-binding protein like 1|Ryu GTPase|ras homolog gene family, member U|ras-like gene family member U|rho GTPase-like protein ARHU|wnt-1 responsive Cdc42 homolog 1	1q42.13	1	NC_000001.11	228644647	228746669	plus	4	606366	
9606	Homo sapiens	283652	0	live	SLC24A5	JSX, NCKX5, OCA6, SHEP4	solute carrier family 24 member 5	sodium/potassium/calcium exchanger 5|Na(+)/K(+)/Ca(2+)-exchange protein 5|Na/Ca-K exchanger 5|ion transporter JSX|oculocutaneous albinism 6 (autosomal recessive)|solute carrier family 24 (sodium/potassium/calcium exchanger), member 5	15q21.1	15	NC_000015.10	48120990	48142672	plus	10	609802	
9606	Homo sapiens	353238	0	live	PADI6	PREMBL2, hPADVI	peptidyl arginine deiminase 6	protein-arginine deiminase type-6|peptidyl arginine deiminase, type VI|peptidyl arginine deiminase-like protein|peptidylarginine deiminase type 6	1p36.13	1	NC_000001.11	17372196	17401699	plus	16	610363	
9606	Homo sapiens	50863	0	live	NTM	CEPU-1, HNT, IGLON2, NTRI	neurotrimin	neurotrimin|IgLON family member 2	11q25	11	NC_000011.10	131370615	132336822	plus	21	607938	
9606	Homo sapiens	11044	0	live	TENT4A	LAK-1, LAK1, PAPD7, POLK, POLS, TRF4, TRF4-1, TRF41, TUTASE5	terminal nucleotidyltransferase 4A	terminal nucleotidyltransferase 4A|DNA polymerase kappa|DNA polymerase sigma|PAP-associated domain-containing protein 7|TRAMP-like complex polyadenylate polymerase|non-canonical poly(A) RNA polymerase PAPD7|poly(A) RNA polymerase D7, non-canonical|polymerase (DNA directed) sigma|terminal guanylyltransferase|terminal uridylyltransferase 5|topoisomerase-related function protein 4-1	5p15.31	5	NC_000005.10	6713432	6757044	plus	18	605198	
9606	Homo sapiens	64839	0	live	FBXL17	FBXO13, Fbl17, Fbx13	F-box and leucine rich repeat protein 17	F-box/LRR-repeat protein 17|F-box only protein 13	5q21.3	5	NC_000005.10	107859035	108382098	minus	18	609083	
9606	Homo sapiens	55160	0	live	ARHGEF10L	GrinchGEF	Rho guanine nucleotide exchange factor 10 like	rho guanine nucleotide exchange factor 10-like protein|Rho guanine nucleotide exchange factor (GEF) 10-like	1p36.13	1	NC_000001.11	17513435	17697875	plus	39	612494	
